证劵代码,证劵简称,交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),
"02156-HKG","建发物业","2023-08-03","3.95","4.09","3.92","4.09","148000",
"02157-HKG","乐普生物-B","2023-08-03","5.41","5.77","5.37","5.77","653000",
"02158-HKG","医渡科技","2023-08-03","5.34","5.51","5.15","5.3","7235300",
"02159-HKG","麦迪卫康","2023-08-03","null","null","null","1.04","0",
"02160-HKG","心通医疗-B","2023-08-03","2.07","2.16","2.07","2.12","2605400",
"02161-HKG","健倍苗苗","2023-08-03","1.14","1.14","1.14","1.14","10000",
"02162-HKG","康诺亚-B","2023-08-03","50.25","53.5","48.8","53.2","1127404",
"02163-HKG","远大住工","2023-08-03","2.88","2.96","2.74","2.89","1717200",
"02165-HKG","领悦服务集团","2023-08-03","0.55","0.55","0.55","0.55","63000",
"02166-HKG","芯智控股","2023-08-03","1.88","1.88","1.81","1.88","32000",
"02167-HKG","天润云","2023-08-03","8","8","7.99","8","643400",
"02168-HKG","佳兆业美好","2023-08-03","2.75","2.79","2.75","2.75","23750",
"02169-HKG","沧港铁路","2023-08-03","6.66","6.92","6.6","6.7","500000",
"02170-HKG","贝康医疗-B","2023-08-03","3.09","3.18","3.08","3.18","42500",
"02171-HKG","科济药业-B","2023-08-03","11","11.16","10.7","11.04","873000",
"02172-HKG","微创脑科学","2023-08-03","13.02","13.14","12.68","12.88","325000",
"02175-HKG","中国通才教育","2023-08-03","null","null","null","null","null",
"02176-HKG","赛迪顾问","2023-08-03","null","null","null","0.37","0",
"02177-HKG","优趣汇控股","2023-08-03","1.31","1.34","1.31","1.34","11400",
"02178-HKG","百勤油服","2023-08-03","0.068","0.068","0.068","0.068","50000",
"02179-HKG","瑞科生物-B","2023-08-03","12.6","13","12.6","12.9","38500",
"02180-HKG","万宝盛华","2023-08-03","null","null","null","6.85","0",
"02181-HKG","迈博药业-B","2023-08-03","0.68","0.71","0.65","0.68","586000",
"02182-HKG","天长集团","2023-08-03","null","null","null","0.395","0",
"02183-HKG","三盛控股","2023-08-03","null","null","null","null","null",
"02185-HKG","百心安-B","2023-08-03","4.19","4.4","4.19","4.24","14600",
"02186-HKG","绿叶制药","2023-08-03","3.45","3.48","3.4","3.42","7223500",
"02187-HKG","智欣集团控股","2023-08-03","9","9.11","8.76","9","16172120",
"02188-HKG","泰坦能源技术","2023-08-03","0.325","0.33","0.32","0.33","184000",
"02189-HKG","嘉涛(香港)控股","2023-08-03","0.63","0.63","0.62","0.62","336000",
"02190-HKG","归创通桥-B","2023-08-03","10.56","10.64","10.36","10.36","81000",
"02191-HKG","顺丰房托","2023-08-03","2.78","2.79","2.76","2.77","259000",
"02192-HKG","医脉通","2023-08-03","6.32","6.38","6.15","6.29","610000",
"02193-HKG","万景控股","2023-08-03","0.355","0.36","0.355","0.355","336000",
"02195-HKG","盈汇企业控股","2023-08-03","0.095","0.095","0.084","0.094","2200000",
"02196-HKG","复星医药","2023-08-03","20.15","20.65","19.94","20.55","2341181",
"02197-HKG","三叶草生物-B","2023-08-03","0.97","1.02","0.96","1.01","8473000",
"02198-HKG","中国三江化工","2023-08-03","1.07","1.08","1.03","1.08","1027000",
"02199-HKG","维珍妮","2023-08-03","2.62","2.66","2.62","2.62","77000",
"02202-HKG","万科企业","2023-08-03","10.56","10.8","10.4","10.74","10006185",
"02203-HKG","脑洞科技","2023-08-03","null","null","null","0.128","0",
"02205-HKG","康桥悦生活","2023-08-03","null","null","null","null","null",
"02207-HKG","融信服务","2023-08-03","null","null","null","3.68","0",
"02208-HKG","金风科技","2023-08-03","5.22","5.27","5.19","5.22","2224556",
"02209-HKG","喆丽控股","2023-08-03","0.55","0.6","0.55","0.58","392000",
"02210-HKG","京城佳业","2023-08-03","3.02","3.08","3.01","3.06","201200",
"02211-HKG","大健康国际","2023-08-03","0.132","0.14","0.131","0.139","755000",
"02212-HKG","高鹏矿业","2023-08-03","null","null","null","0.25","0",
"02215-HKG","德信服务集团","2023-08-03","2.55","2.55","2.55","2.55","1000",
"02216-HKG","堃博医疗-B","2023-08-03","1.19","1.2","1.18","1.2","18500",
"02217-HKG","谭仔国际","2023-08-03","1.71","1.74","1.71","1.73","165000",
"02218-HKG","安德利果汁","2023-08-03","6.35","6.39","6.33","6.37","88500",
"02219-HKG","朝聚眼科","2023-08-03","4.92","4.97","4.82","4.9","166000",
"02221-HKG","创业集团控股","2023-08-03","0.55","0.6","0.55","0.57","628000",
"02222-HKG","雷士国际","2023-08-03","0.095","0.095","0.094","0.095","1020000",
"02223-HKG","卡撒天娇","2023-08-03","null","null","null","0.37","0",
"02225-HKG","今海国际","2023-08-03","2.02","2.02","1.93","1.97","235000",
"02226-HKG","老恒和酿造","2023-08-03","0.5","0.51","0.485","0.51","116000",
"02227-HKG","守益控股","2023-08-03","null","null","null","0.088","0",
"02230-HKG","羚邦集团","2023-08-03","0.21","0.213","0.206","0.206","920000",
"02231-HKG","景业名邦集团","2023-08-03","null","null","null","1.21","0",
"02232-HKG","晶苑国际","2023-08-03","null","null","null","2.78","0",
"02233-HKG","西部水泥","2023-08-03","0.81","0.82","0.8","0.82","12794000",
"02235-HKG","微泰医疗-B","2023-08-03","5","5","5","5","1800",
"02236-HKG","惠生工程","2023-08-03","0.39","0.39","0.35","0.355","3484000",
"02237-HKG","中国石墨","2023-08-03","0.88","0.88","0.85","0.88","5370000",
"02238-HKG","广汽集团","2023-08-03","4.78","4.79","4.71","4.73","9353000",
"02239-HKG","国微控股","2023-08-03","null","null","null","1.79","0",
"02245-HKG","力勤资源","2023-08-03","11.94","11.94","11.68","11.9","42400",
"02246-HKG","快狗打车","2023-08-03","1.14","1.17","1.12","1.16","1746800",
"02250-HKG","小黄鸭德盈","2023-08-03","1.42","1.44","1.4","1.41","107000",
"02251-HKG","鹰瞳科技-B","2023-08-03","10","10","9.69","9.74","126700",
"02252-HKG","微创机器人-B","2023-08-03","21.05","22.25","20.95","21.95","860863",
"02255-HKG","海昌海洋公园","2023-08-03","1.13","1.15","1.12","1.12","11002000",
"02256-HKG","和誉-B","2023-08-03","2.78","2.78","2.71","2.71","46000",
"02257-HKG","圣诺医药-B","2023-08-03","54.3","55.3","53.6","55.2","70500",
"02258-HKG","华滋国际海洋","2023-08-03","null","null","null","0.211","0",
"02260-HKG","环龙控股","2023-08-03","null","null","null","0.95","0",
"02262-HKG","梁志天设计集团","2023-08-03","0.13","0.136","0.13","0.133","126000",
"02263-HKG","富石金融","2023-08-03","0.175","0.175","0.162","0.167","90000",
"02265-HKG","鸿承环保科技","2023-08-03","0.67","0.68","0.67","0.68","330000",
"02266-HKG","黎氏企业","2023-08-03","0.295","0.34","0.295","0.34","26000",
